GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
centroplus,es.ies.puerto,Main,6,0,0,0,3,0,2,0,2,0
centroplus,es.ies.puerto,App,41,0,0,0,12,0,3,0,3,0
centroplus,es.ies.puerto.connection,SQLiteConnectionManager,39,45,6,2,11,13,6,4,2,4
centroplus,es.ies.puerto.controller,ReservasController,115,79,14,2,35,20,11,5,3,5
centroplus,es.ies.puerto.controller,UsuariosController,115,86,14,2,35,21,11,5,3,5
centroplus,es.ies.puerto.controller,ActividadesController,169,99,24,2,48,23,18,5,5,5
centroplus,es.ies.puerto.controller,MainController,1,175,1,13,0,49,1,20,0,14
centroplus,es.ies.puerto.controller,AddReservaController,133,34,16,0,37,7,16,3,8,3
centroplus,es.ies.puerto.controller,IncidenciasController,115,86,14,2,35,21,11,5,3,5
centroplus,es.ies.puerto.controller,AddIncidenciaController,129,34,14,0,38,7,15,3,8,3
centroplus,es.ies.puerto.controller,AddUsuarioController,127,34,14,0,38,7,15,3,8,3
centroplus,es.ies.puerto.controller,AddActividadController,136,10,14,0,40,4,15,2,8,2
centroplus,es.ies.puerto.repository.sqlite,ReservasRepository,189,54,12,2,45,15,10,3,4,2
centroplus,es.ies.puerto.repository.sqlite,IncidenciasRepository,204,59,12,2,48,17,10,3,4,2
centroplus,es.ies.puerto.repository.sqlite,ActividadesRepository,220,65,12,2,51,17,10,3,4,2
centroplus,es.ies.puerto.repository.sqlite,UsuarioRepository,204,59,12,2,48,16,10,3,4,2
centroplus,es.ies.puerto.modelo,Reservas,78,19,6,0,28,8,15,2,12,2
centroplus,es.ies.puerto.modelo,Actividades,119,24,8,0,45,9,24,1,20,1
centroplus,es.ies.puerto.modelo,Usuario,84,34,6,0,30,15,17,4,14,4
centroplus,es.ies.puerto.modelo,Incidencias,90,21,6,0,34,8,18,1,15,1
centroplus,es.ies.puerto.service.sqlite,UsuarioService,26,12,0,0,7,4,5,2,5,2
centroplus,es.ies.puerto.service.sqlite,ReservasService,26,12,0,0,7,4,5,2,5,2
centroplus,es.ies.puerto.service.sqlite,ActividadesService,26,12,0,0,7,4,5,2,5,2
centroplus,es.ies.puerto.service.sqlite,IncidenciasService,26,12,0,0,7,4,5,2,5,2
centroplus,es.ies.puerto.tools,Validaciones,64,0,20,0,20,0,16,0,6,0
